Test Result UID,Sample Name,Sample Type,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,URL,Aromas,Flavors,Effects
,Blackberry Kush,"Concentrate, Inhalable",,,,,,0.0,0.0,0.073,0.0,0.003,0.014,0.0,0.025,0.0,0.0,0.163,0.04,0.0,0.0,0.055,0.0,,0.0,0.0,0.0,0.0,,3.72,0.23,79.22,0.05,0.12,0.17,0.01,0.0,0.03,1.21,0.26,0.0,https://www.allbud.com/marijuana-strains/indica/blackberry-kush,[],"['Berry', 'Diesel', 'Sweet']","['Euphoria', 'Happy', 'Hungry', 'Mellow', 'Sleepy']"
,Purple Kush,"Concentrate, Inhalable",,,,,,0.0,0.0,0.019,0.0,0.001,0.01,0.0,0.022,0.0,0.0,0.161,0.0,0.0,0.0,0.004,0.0,,0.0,0.0,0.0,0.0,,5.37,0.31,72.21,0.06,0.47,0.15,0.0,0.06,0.03,1.65,0.32,0.31,https://www.allbud.com/marijuana-strains/indica/purple-kush,"['Earthy', 'Grape', 'Pungent', 'Spicy', 'Sweet']","['Berry', 'Grape', 'Sweet']","['Euphoria', 'Happy', 'Hungry', 'Relaxing', 'Sleepy']"
,Harle tsu,"Flower, Inhalable",,,,,,0.0,0.003,0.019,0.0,0.002,0.014,0.0,0.002,0.002,0.016,0.009000000000000001,0.056,0.13,0.0,0.116,0.182,,0.02,0.033,0.0,0.0,,0.27,0.0,0.21,0.02,0.02,7.68,3.32,0.19,0.46,0.11,0.06,0.17,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/harle-tsu,"['Earthy', 'Herbal', 'Pine', 'Spicy']","['Citrus', 'Pine', 'Spicy', 'Sweet', 'Woody']","['Euphoria', 'Focus', 'Happy', 'Relaxing']"
,Star Trek,"Flower, Inhalable",,,,,,0.0,0.008,0.01,0.0,0.002,0.003,0.0,0.003,0.001,0.006,0.027000000000000003,0.204,0.039,0.0,0.621,0.251,,0.052000000000000005,0.417,0.0,0.0,,3.88,0.0,18.7,0.03,0.02,0.06,0.0,0.0,0.0,0.3,0.09,0.05,https://www.allbud.com/marijuana-strains/hybrid/star-trek,"['Earthy', 'Hash', 'Herbal', 'Lemon', 'Spicy']","['Citrus', 'Hash', 'Herbal', 'Lemon']","['Body High', 'Creative', 'Euphoria', 'Relaxing', 'Uplifting']"
,Puna Budder (53020),"Flower, Inhalable",,,,,,0.0,0.015,0.009000000000000001,0.0,0.005,0.0,0.0,0.171,0.0,0.013,0.054000000000000006,0.081,0.057,0.0,0.236,0.306,,0.108,0.515,0.0,0.0,,0.44,0.0,23.84,0.0,0.0,0.05,0.0,0.0,0.0,0.44,0.19,0.0,https://www.allbud.com/marijuana-strains/hybrid/puna-budder,"['Earthy', 'Grape', 'Sweet']","['Berry', 'Buttery', 'Pine', 'Skunky', 'Sweet', 'Tropical']","['Creative', 'Energizing', 'Euphoria', 'Giggly', 'Happy', 'Relaxing', 'Uplifting']"
,Sour Alien (53025),"Flower, Inhalable",,,,,,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.04,0.003,0.0,0.059,0.093,0.209,0.0,0.234,0.439,,0.106,0.078,0.0,0.0,,0.21,0.0,20.24,0.01,0.0,0.04,0.0,0.0,0.0,0.35,0.04,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/sour-alien,"['Earthy', 'Fruity', 'Pine', 'Pungent', 'Sour']","['Diesel', 'Fruity', 'Lemon', 'Sweet', 'Woody']","['Cerebral', 'Euphoria', 'Happy']"
,Durban Poison -53028-,"Flower, Inhalable",,,,,,0.058,0.0,0.0,0.004,0.005,0.031,0.01,0.003,0.311,1.901,0.004,0.027000000000000003,0.093,0.051,0.08199999999999999,0.424,,0.135,0.188,0.029,0.0,,2.97,0.0,17.08,0.17,0.0,0.06,0.0,0.0,0.0,0.72,0.09,0.0,https://www.allbud.com/marijuana-strains/sativa/durban-poison,"['Earthy', 'Pine', 'Pungent', 'Spicy', 'Sweet']","['Citrus', 'Herbal', 'Pine', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Focus', 'Happy']"
,Fire OG,"Concentrate, Inhalable",,,,,,0.0,0.0,0.141,0.0,0.012,0.011,0.0,0.472,0.104,0.0,0.503,0.821,0.103,0.0,2.572,0.406,,0.101,0.376,0.0,0.0,,6.46,0.0,72.05,0.0,0.0,0.18,0.0,0.0,0.0,2.01,0.34,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/fire-og,"['Earthy', 'Herbal', 'Pungent', 'Spicy', 'Woody']","['Citrus', 'Herbal', 'Lemon', 'Pine', 'Spicy', 'Sweet']","['Euphoria', 'Happy', 'Sleepy']"
,Game Changer,"Concentrate, Inhalable",,,,,,0.0,0.005,0.043,0.0,0.0,0.0,0.0,0.027000000000000003,0.0,0.0,0.204,0.7859999999999999,0.032,0.0,2.044,1.6840000000000002,,0.07400000000000001,0.312,0.0,0.0,,4.01,0.0,69.64,0.0,0.0,0.16,0.0,0.0,0.0,4.63,0.62,0.15,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/game-changer,"['Earthy', 'Floral', 'Fruity', 'Grape', 'Sweet']","['Berry', 'Fruity', 'Grape', 'Sweet', 'Tropical']","['Euphoria', 'Happy', 'Hungry']"
,Sunset Sherbert,"Flower, Inhalable",,,,,,0.0,0.014,0.018000000000000002,0.0,0.0,0.0,0.0,0.123,0.0,0.033,0.035,0.151,0.046,0.0,0.333,0.042,,0.078,0.301,0.0,0.0,,0.59,0.0,21.67,0.0,0.0,0.06,0.0,0.0,0.0,1.48,0.07,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/sunset-sherbert,"['Fruity', 'Sweet']","['Creamy', 'Fruity', 'Nutty', 'Sweet']","['Happy', 'Relaxing']"
,Coffee Kush,"Flower, Inhalable",,,,,,0.0,0.006,0.019,0.0,0.021,0.037000000000000005,0.0,0.029,0.185,0.0,0.0,0.07,0.068,0.0,0.233,0.555,,0.033,0.057,0.0,0.0,,1.06,0.0,9.98,0.0,0.0,0.07,0.0,0.0,0.0,0.4,0.06,0.01,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/coffee-kush,"['Coffee', 'Earthy', 'Herbal', 'Nutty', 'Spicy']","['Coffee', 'Herbal', 'Spicy', 'Sweet']","['Body High', 'Relaxing', 'Sleepy', 'Tingly', 'Uplifting']"
,Blueberry Cookies,"Flower, Inhalable",,,,,,0.0,0.014,0.015,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.115,0.552,0.0,0.413,0.964,,0.239,0.154,0.0,0.0,,0.78,0.0,17.89,0.0,0.0,0.07,0.0,0.0,0.0,0.45,0.06,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/blueberry-cookies,"['Berry', 'Earthy', 'Lemon', 'Nutty', 'Woody']","['Berry', 'Lemon', 'Mint', 'Pine']","['Creative', 'Relaxing', 'Uplifting']"
,Huckleberry,"Concentrate, Inhalable",,,,,,0.0,0.037000000000000005,0.179,0.049,0.0,0.0,0.0,0.306,0.0,0.033,0.011,2.009,0.092,0.0,4.126,0.371,,0.153,0.922,0.0,0.0,,3.79,0.0,62.45,0.0,0.0,0.31,0.0,0.0,0.0,1.33,0.5,0.0,https://www.allbud.com/marijuana-strains/hybrid/huckleberry,"['Blueberry', 'Earthy', 'Sweet']","['Berry', 'Blueberry', 'Spicy', 'Sweet']","['Energizing', 'Euphoria', 'Focus', 'Happy', 'Relaxing']"
,Shark Shock,"Flower, Inhalable",,,,,,0.0,0.003,0.012,0.0,0.0,0.0,0.0,0.039,0.02,0.041,0.052000000000000005,0.092,0.056,0.0,0.299,0.281,,0.04,0.15,0.0,0.0,,0.71,0.0,17.88,0.0,0.0,0.07,0.0,0.0,0.0,0.74,0.06,0.02,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/shark-shock,"['Citrus', 'Earthy', 'Woody']","['Pine', 'Skunky', 'Spicy', 'Sweet', 'Woody']","['Euphoria', 'Focus', 'Happy', 'Relaxing', 'Sleepy']"
,XXX,"Concentrate, Inhalable",,,,,,0.0,0.013,0.081,0.0,0.021,0.0,0.0,0.133,0.071,0.013,0.33,0.409,0.269,0.0,1.269,1.516,,0.152,0.273,0.0,0.0,,15.93,0.03,60.22,0.14,0.2,0.21,0.0,0.0,0.0,1.21,0.72,0.23,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/xxx,"['Earthy', 'Lemon', 'Pine', 'Pungent', 'Sweet']","['Herbal', 'Spicy']","['Energizing', 'Happy', 'Uplifting']"
,Diesel,"Flower, Inhalable",,,,,,0.0,0.0,0.027000000000000003,0.0,0.0,0.003,0.0,0.015,0.0,0.0,0.038,0.182,0.138,0.0,0.345,0.612,,0.07,0.064,0.0,0.0,,0.6,0.0,11.86,0.01,0.0,0.04,0.0,0.0,0.0,0.16,0.02,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/diesel,"['Diesel', 'Harsh', 'Pungent', 'Skunky', 'Sour']",[],"['Body High', 'Focus']"
,Black Lime,"Flower, Inhalable",,,,,,0.0,0.01,0.024,0.0,0.0,0.0,0.0,0.077,0.0,0.005,0.106,0.324,0.046,0.0,0.785,0.551,,0.07200000000000001,0.499,0.0,0.0,,0.73,0.0,22.2,0.03,0.0,0.11,0.0,0.0,0.0,0.56,0.07,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/black-lime,"['Citrus', 'Earthy', 'Pepper', 'Pine', 'Spicy', 'Woody']","['Lemon', 'Pine', 'Spicy']","['Body High', 'Creative', 'Relaxing']"
,Tangie,"Concentrate, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.08199999999999999,0.0,,0.0,0.102,0.0,0.0,,71.6,0.66,0.0,1.02,3.43,0.03,0.36,0.0,0.0,0.0,3.61,0.0,https://www.allbud.com/marijuana-strains/hybrid/tangie,"['Citrus', 'Orange', 'Sour', 'Sweet']","['Citrus', 'Orange', 'Sweet', 'Tropical']","['Creative', 'Energizing', 'Euphoria', 'Focus', 'Happy', 'Uplifting']"
,Lemon Larry --53041--,"Flower, Inhalable",,,,,,0.0,0.014,0.018000000000000002,0.0,0.026,0.0,0.0,0.366,0.0,0.0,0.107,0.235,0.05,0.0,0.6970000000000001,0.882,,0.107,0.591,0.0,0.0,,1.17,0.01,21.52,0.01,0.0,0.06,0.0,0.0,0.0,0.57,0.15,0.02,https://www.allbud.com/marijuana-strains/hybrid/lemon-larry,"['Earthy', 'Lemon', 'Pine', 'Pungent', 'Woody']","['Citrus', 'Herbal', 'Lemon', 'Pine', 'Woody']","['Happy', 'Relaxing']"
,Black Domina,"Indica, Flower, Inhalable",,,,,,0.0,0.01,0.012,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.045,0.155,0.0,0.14300000000000002,0.464,,0.087,0.085,0.0,0.0,,0.36,0.0,21.3,0.0,0.0,0.05,0.0,0.0,0.0,0.92,0.1,0.0,https://www.allbud.com/marijuana-strains/indica/black-domina,"['Citrus', 'Earthy', 'Nutty']","['Citrus', 'Herbal', 'Peppery', 'Spicy', 'Woody']","['Body High', 'Euphoria', 'Happy', 'Hungry', 'Sleepy']"
,Strawberry Banana - Gold Coast Extracts,"Concentrate, Inhalable",,,,,,0.0,0.057,0.032,0.0,0.0,0.0,0.0,0.109,0.334,0.111,0.006,0.447,0.244,0.0,1.301,0.279,,0.331,1.716,0.0,0.0,,0.83,0.0,83.57,0.0,0.0,0.22,0.0,0.0,0.0,2.31,0.79,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/strawberry-banana,"['Earthy', 'Strawberry', 'Sweet']","['Berry', 'Strawberry', 'Sweet', 'Tropical']","['Euphoria', 'Happy', 'Relaxing', 'Sleepy']"
,Watermelon - Nameless Genetics,"Flower, Inhalable",,,,,,0.0,0.012,0.01,0.0,0.0,0.0,0.0,0.037000000000000005,0.0,0.006999999999999999,0.0,0.14300000000000002,0.036000000000000004,0.0,0.482,0.6659999999999999,,0.061,0.303,0.0,0.0,,0.48,0.0,26.1,0.01,0.0,0.1,0.0,0.0,0.0,1.1,0.33,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/watermelon,"['Dank', 'Fruity', 'Pungent', 'Tropical']","['Fruity', 'Grape', 'Herbal', 'Sweet', 'Tropical']","['Calming', 'Happy', 'Hungry', 'Relaxing', 'Uplifting']"
,Bubble Bomb - Nature's Lab Extract,"Concentrate, Inhalable",,,,,,0.0,0.0,0.118,0.0,0.0,0.573,0.0,0.17,0.0,0.0,0.0,0.267,0.0,0.0,0.539,0.113,,0.0,0.11,0.0,0.0,,1.82,0.0,82.88,0.0,0.0,0.27,0.0,0.0,0.0,1.93,0.26,0.05,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/bubble-bomb,"['Bubble Gum', 'Earthy', 'Fragrant', 'Sweet']","['Bubble Gum', 'Sweet', 'Tangy']","['Happy', 'Relaxing', 'Sleepy']"
,Kush Cleaner - Paper Plane Extracts,"Concentrate, Inhalable",,,,,,0.141,0.0,0.242,0.0,0.0,0.0,0.0,0.238,0.14,0.394,0.0,0.867,0.12,0.17,2.017,0.263,,0.195,0.229,0.16699999999999998,0.0,,1.16,0.0,79.69,0.0,0.0,0.3,0.0,0.0,0.0,2.41,0.4,0.0,https://www.allbud.com/marijuana-strains/hybrid/kush-cleaner,"['Earthy', 'Kush', 'Lemon', 'Pine']","['Berry', 'Buttery', 'Cheesy', 'Citrus', 'Lemon', 'Pine', 'Sweet']","['Aroused', 'Euphoria', 'Happy', 'Mellow', 'Relaxing']"
,Fruit Punch - Paper Plane Extracts,"Concentrate, Inhalable",,,,,,0.116,0.021,0.328,0.039,0.0,0.0,0.0,0.308,0.311,0.542,0.004,1.172,0.121,0.13,3.3,0.336,,0.214,0.456,0.126,0.0,,2.12,0.0,71.35,0.0,0.0,0.21,0.0,0.0,0.0,3.62,0.2,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/fruit-punch,"['Berry', 'Fruity', 'Pine', 'Sweet']","['Berry', 'Citrus', 'Lemon', 'Sweet', 'Tangy', 'Tropical']","['Cerebral', 'Energizing', 'Euphoria', 'Happy', 'Motivation', 'Sociable', 'Uplifting']"
,Blood Diamond OG - The Humboldt Cure,"Concentrate, Inhalable",,,,,,0.094,0.015,0.085,0.02,0.0,0.385,0.0,0.161,0.077,0.423,0.223,0.32,0.28600000000000003,0.106,0.716,0.382,,0.192,0.181,0.103,0.0,,10.96,0.0,67.39,0.15,0.0,0.22,0.0,0.0,0.0,3.57,0.38,0.33,https://www.allbud.com/marijuana-strains/indica/blood-diamond-og,"['Earthy', 'Lemon', 'Pungent', 'Sweet']","['Citrus', 'Herbal', 'Pine', 'Woody']","['Body High', 'Cerebral', 'Long Lasting', 'Relaxing', 'Sleepy']"
,Jack the Ripper,"Concentrate, Inhalable",,,,,,0.006,0.0,0.236,0.017,0.0,0.384,0.014,0.081,0.0,0.438,0.293,0.449,0.16399999999999998,0.013,1.317,0.381,,0.149,0.153,0.035,0.0,,5.87,0.0,68.66,0.0,0.0,0.22,0.0,0.0,0.0,3.55,0.46,0.15,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/jack-the-ripper,"['Citrus', 'Lemon', 'Pungent', 'Sour']","['Lemon', 'Tangy']","['Creative', 'Energizing', 'Euphoria', 'Happy']"
,Lemon G,"Concentrate, Inhalable",,,,,,0.0,0.018000000000000002,0.197,0.049,0.111,0.611,0.0,0.6409999999999999,0.16,0.156,1.662,0.638,0.12,0.0,2.077,1.161,,0.162,0.34,0.0,0.0,,4.92,0.0,69.23,0.24,0.0,0.18,0.0,0.0,0.0,1.42,0.31,0.04,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/lemon-g,"['Citrus', 'Lemon']","['Citrus', 'Diesel', 'Herbal', 'Lemon', 'Pine', 'Spicy', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Focus', 'Happy']"
,Docs OG,"Flower, Inhalable",,,,,,0.0,0.006999999999999999,0.013,0.0,0.0,0.0,0.0,0.008,0.0,0.002,0.051,0.141,0.404,0.0,0.454,1.3430000000000002,,0.201,0.197,0.0,0.0,,1.23,0.01,18.75,0.0,0.0,0.07,0.0,0.0,0.0,0.57,0.12,0.02,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/docs-og,"['Earthy', 'Herbal', 'Pungent', 'Spicy']","['Herbal', 'Sweet', 'Woody']","['Body High', 'Euphoria', 'Relaxing', 'Sleepy', 'Uplifting']"
,Turbo Diesel,"Flower, Inhalable",,,,,,0.0,0.023,0.019,0.0,0.035,0.031,0.0,0.293,0.0,0.033,0.07,0.245,0.07,0.0,0.551,0.251,,0.11,0.459,0.0,0.0,,0.48,0.0,15.54,0.02,0.0,0.06,0.0,0.01,0.02,0.26,0.04,0.07,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/turbo-diesel,"['Diesel', 'Earthy', 'Herbal', 'Pungent', 'Spicy']","['Diesel', 'Herbal', 'Sour', 'Sweet']","['Cerebral', 'Creative', 'Energizing', 'Euphoria', 'Uplifting']"
,Purps,"Flower, Inhalable",,,,,,0.0,0.0,0.018000000000000002,0.0,0.001,0.0,0.0,0.092,0.08199999999999999,0.0,0.039,0.07400000000000001,0.207,0.0,0.249,0.8290000000000001,,0.057,0.031,0.0,0.0,,0.47,0.0,14.01,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.15,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/purps,"['Caramel', 'Coffee', 'Earthy', 'Nutty', 'Pine', 'Sweet', 'Woody']","['Caramel', 'Coffee', 'Fruity', 'Nutty']","['Happy', 'Relaxing']"
,Pure Kush - I,"Concentrate, Inhalable",,,,,,0.0,0.023,0.132,0.0,0.0,0.0,0.08900000000000001,0.407,0.0,0.0,0.622,0.23,0.08199999999999999,0.0,0.7979999999999999,0.453,,0.229,0.274,0.0,0.0,,83.56,0.0,0.2,1.18,0.75,0.0,0.23,0.0,0.0,0.0,1.63,2.67,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/pure-kush,"['Earthy', 'Kush', 'Pungent', 'Skunky', 'Spicy', 'Woody']","['Skunky', 'Spicy', 'Woody']","['Body High', 'Cerebral', 'Creative', 'Euphoria', 'Happy', 'Relaxing', 'Sleepy']"
,Skunk #1,"Flower, Inhalable",,,,,,0.0,0.019,0.017,0.0,0.034,0.028,0.0,0.16399999999999998,0.0,0.037000000000000005,0.023,0.132,0.056,0.0,0.306,0.085,,0.091,0.383,0.0,0.0,,0.54,0.0,15.51,0.02,0.0,0.08,0.0,0.0,0.0,0.19,0.05,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/skunk-1,"['Earthy', 'Pungent', 'Skunky', 'Sour', 'Sweet']",[],"['Body High', 'Cerebral', 'Relaxing']"
,Blood Drive,"Flower, Inhalable",,,,,,0.0,0.015,0.003,0.005,0.001,0.0,0.0,0.112,0.061,0.015,0.009000000000000001,0.14,0.091,0.0,0.308,0.078,,0.099,0.521,0.001,0.0,,0.44,0.0,17.6,0.0,0.0,0.07,0.0,0.0,0.0,0.65,0.18,0.01,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/blood-drive,"['Berry', 'Cherry', 'Citrus', 'Earthy', 'Lemon', 'Sour', 'Woody']","['Berry', 'Citrus', 'Sour', 'Sweet', 'Woody']","['Body High', 'Calming', 'Euphoria', 'Happy', 'Hungry', 'Tingly']"
,Sky OG,"Indica, Flower, Inhalable",,,,,,0.0,0.009000000000000001,0.006999999999999999,0.0,0.008,0.0,0.0,0.14400000000000002,0.002,0.013,0.044,0.14300000000000002,0.035,0.0,0.4370000000000001,1.11,,0.075,0.455,0.001,0.0,,0.78,0.0,22.23,0.0,0.0,0.06,0.0,0.0,0.0,0.65,0.17,0.01,https://www.allbud.com/marijuana-strains/indica/sky-og,"['Lemon', 'Lime']","['Lemon', 'Lime']","['Energizing', 'Happy']"
,Goo,"Indica, Flower, Inhalable",,,,,,0.0,0.003,0.003,0.0,0.001,0.039,0.0,0.015,0.003,0.008,0.027000000000000003,0.038,0.081,0.0,0.095,0.7,,0.046,0.079,0.001,0.0,,0.39,0.0,6.74,0.0,0.0,11.48,0.17,0.0,0.06,0.48,0.15,0.02,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/goo,"['Blueberry', 'Dank', 'Earthy', 'Sour', 'Sweet']","['Berry', 'Fruity', 'Pine', 'Sweet', 'Woody']","['Euphoria', 'Happy', 'Hungry', 'Sleepy']"
,Kings Kush,"Indica, Flower, Inhalable",,,,,,0.033,0.015,0.011,0.008,0.037000000000000005,0.032,0.0,0.11,0.0,0.035,0.061,0.118,0.031,0.037000000000000005,0.314,0.041,,0.057,0.165,0.035,0.032,,0.23,0.01,18.31,0.03,0.0,0.04,0.0,0.0,0.0,0.84,0.03,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/kings-kush,"['Diesel', 'Earthy', 'Fruity', 'Pungent', 'Spicy', 'Sweet']","['Diesel', 'Fruity', 'Grape', 'Herbal', 'Spicy', 'Sweet']","['Euphoria', 'Happy', 'Hungry', 'Relaxing', 'Sleepy', 'Uplifting']"
,OG Matic,"Indica, Flower, Inhalable",,,,,,0.0,0.02,0.017,0.0,0.0,0.0,0.0,0.14,0.0,0.009000000000000001,0.0,0.096,0.057,0.0,0.32299999999999995,0.269,,0.091,0.409,0.0,0.0,,0.33,0.0,24.8,0.01,0.0,0.1,0.0,0.0,0.0,1.33,0.09,0.0,https://www.allbud.com/marijuana-strains/hybrid/og-matic,"['Dank', 'Earthy', 'Fruity', 'Herbal', 'Skunky']","['Berry', 'Fruity', 'Herbal', 'Pine', 'Sweet']","['Energizing', 'Focus', 'Happy', 'Motivation', 'Uplifting']"
,Laffy Taffy,"Flower, Inhalable",,,,,,0.052000000000000005,0.0,0.013,0.012,0.0,0.04,0.0,0.079,0.036000000000000004,0.237,0.018000000000000002,0.068,0.042,0.054000000000000006,0.126,0.154,,0.081,0.083,0.05,0.0,,0.44,0.0,13.11,0.01,0.0,0.05,0.0,0.0,0.0,0.18,0.07,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/laffy-taffy,"['Berry', 'Dank', 'Fruity', 'Pungent']","['Berry', 'Candy', 'Fruity', 'Sweet']","['Cerebral', 'Energizing', 'Euphoria', 'Focus', 'Hungry', 'Motivation']"
,Lemon OG,"Concentrate, Inhalable",,,,,,0.0,0.012,0.166,0.027000000000000003,0.019,0.0,0.0,0.47,0.011,0.013,0.523,0.562,0.096,0.0,1.419,0.261,,0.109,0.489,0.0,0.0,,4.6,0.0,67.65,0.0,0.05,0.9,0.0,0.0,0.0,1.47,0.19,0.06,https://www.allbud.com/marijuana-strains/hybrid/lemon-og,"['Citrus', 'Earthy', 'Lemon', 'Pungent', 'Sour']","['Lemon', 'Tangy']","['Creative', 'Energizing', 'Focus', 'Happy', 'Relaxing']"
,Holy Grail,"Concentrate, Inhalable",,,,,,0.0,0.021,0.126,0.0,0.0,0.0,0.0,0.153,0.0,0.016,0.181,0.448,0.215,0.0,1.433,0.369,,0.208,0.502,0.0,0.0,,1.87,0.0,75.29,0.0,0.0,0.18,0.0,0.0,0.0,2.61,0.17,0.0,https://www.allbud.com/marijuana-strains/hybrid/holy-grail,"['Earthy', 'Herbal', 'Pine', 'Pungent', 'Spicy', 'Woody']","['Herbal', 'Pine']","['Creative', 'Euphoria', 'Happy', 'Relaxing', 'Uplifting']"
,Candyland,"Concentrate, Inhalable",,,,,,0.0,0.006999999999999999,0.15,0.0,0.0,0.045,0.0,0.142,0.026,0.016,0.185,0.255,0.16399999999999998,0.0,0.833,0.249,,0.128,0.235,0.0,0.0,,1.71,0.02,77.23,0.0,0.0,0.18,0.0,0.0,0.0,2.83,0.25,0.04,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/candyland,"['Earthy', 'Herbal', 'Pine']","['Berry', 'Candy', 'Fruity', 'Honey', 'Pine', 'Sweet', 'Vanilla']","['Creative', 'Energizing', 'Euphoria', 'Happy', 'Relaxing', 'Sociable']"
,Cherry Pie (Nug Run),"Concentrate, Inhalable",,,,,,0.0,0.023,0.116,0.002,0.0,0.29,0.0,0.274,0.011,0.053,0.206,0.892,0.189,0.0,2.214,0.69,,0.209,1.178,0.002,0.0,,4.85,0.0,71.38,0.0,0.0,0.16,0.0,0.0,0.0,1.04,0.16,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/cherry-pie,"['Blueberry', 'Cherry', 'Earthy', 'Sweet']","['Berry', 'Cherry', 'Sweet']","['Creative', 'Euphoria', 'Happy', 'Relaxing']"
,Butter OG,"Flower, Inhalable",,,,,,0.0,0.017,0.008,0.0,0.014,0.003,0.0,0.153,0.001,0.015,0.044,0.112,0.066,0.0,0.358,0.7170000000000001,,0.124,0.534,0.0,0.0,,0.52,0.0,23.47,0.0,0.0,0.05,0.0,0.0,0.0,0.6,0.12,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/butter-og,"['Chemical', 'Earthy', 'Fruity', 'Harsh', 'Sweet', 'Vanilla']","['Buttery', 'Chemical', 'Creamy', 'Fruity', 'Sweet']","['Aroused', 'Giggly', 'Happy', 'Hungry', 'Relaxing']"
,Skywalker OG Kush,"Indica, Flower, Inhalable",,,,,,0.0,0.018000000000000002,0.018000000000000002,0.0,0.029,0.0,0.0,0.132,0.0,0.013,0.0,0.133,0.048,0.0,0.399,0.917,,0.091,0.495,0.0,0.0,,1.3,0.0,21.34,0.02,0.0,0.06,0.0,0.0,0.0,0.6,0.1,0.01,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/skywalker-og-kush,"['Herbal', 'Kush', 'Pungent', 'Spicy', 'Sweet']","['Herbal', 'Sweet']","['Body High', 'Relaxing']"
,Jesus,"Flower, Inhalable",,,,,,0.0,0.013,0.006999999999999999,0.0,0.011,0.0,0.0,0.064,0.159,0.0,0.04,0.073,0.7,0.0,0.268,0.485,,0.194,0.171,0.0,0.0,,0.6,0.03,21.51,0.02,0.0,0.07,0.0,0.0,0.0,0.65,0.1,0.02,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/jesus,"['Citrus', 'Lemon', 'Pungent', 'Sweet']","['Citrus', 'Herbal', 'Lemon', 'Pine', 'Spicy', 'Sweet', 'Tangy']","['Aroused', 'Creative', 'Happy', 'Hungry', 'Uplifting']"
,Gorilla Cookies (Nug Run),"Concentrate, Inhalable",,,,,,0.0,0.009000000000000001,0.122,0.0,0.0,0.038,0.0,0.317,0.019,0.0,0.245,0.672,0.2,0.0,1.905,0.705,,0.16399999999999998,0.65,0.0,0.0,,3.35,0.0,67.7,0.0,0.0,0.18,0.0,0.0,0.0,1.87,0.28,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/gorilla-cookies,"['Earthy', 'Herbal', 'Spicy']","['Herbal', 'Menthol', 'Nutty', 'Spicy', 'Sweet']","['Creative', 'Euphoria', 'Happy', 'Hungry', 'Uplifting']"
