Test Result UID,Sample Name,Sample Type,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,URL
,Platinum OG,"Flower, Inhalable",,,,,,0.0,0.02,0.01,0.0,0.001,0.125,0.0,0.121,0.077,0.01,0.05,0.129,0.168,0.0,0.447,0.091,,0.157,0.885,0.0,0.0,,0.95,0.02,16.76,0.04,0.0,0.05,0.0,0.0,0.0,0.24,0.14,0.06,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/platinum-og
,Gelato,"Flower, Inhalable",,,,,,0.0,0.013999999999999999,0.012,0.0,0.001,0.10099999999999999,0.0,0.125,0.07200000000000001,0.006999999999999999,0.047,0.127,0.091,0.0,0.444,0.064,,0.10400000000000001,0.628,0.0,0.0,,1.22,0.03,15.06,0.04,0.0,0.05,0.0,0.0,0.0,0.25,0.14,0.05,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/gelato
,bubba Kush,"Flower, Inhalable",,,,,,0.0,0.012,0.013000000000000001,0.0,0.002,0.127,0.0,0.012,0.001,0.011000000000000001,0.11800000000000001,0.145,0.05,0.0,0.446,0.182,,0.083,0.5670000000000001,0.002,0.0,,0.46,0.0,17.75,0.03,0.0,0.06,0.0,0.0,0.0,0.37,0.09,0.0,https://www.allbud.com/marijuana-strains/indica/bubba-kush
,Orange Crush,"Flower, Inhalable",,,,,,0.0,0.006999999999999999,0.028999999999999998,0.0,0.002,0.001,0.0,0.052000000000000005,0.043,0.006,0.099,0.13699999999999998,0.228,0.0,0.426,1.175,,0.121,0.272,0.0,0.0,,0.63,0.0,15.12,0.02,0.0,0.04,0.0,0.0,0.0,0.09,0.07,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/orange-crush
,Berry White,"Concentrate, Inhalable",,,,,,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.204,0.037000000000000005,0.0,0.58,0.488,,0.054000000000000006,0.43799999999999994,0.0,0.0,,73.62,0.56,0.2,0.51,3.28,0.07,0.47,0.0,0.0,0.0,2.32,0.08,https://www.allbud.com/marijuana-strains/indica/berry-white
,Sour Diesel,"Concentrate, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.021,0.0,0.0,0.141,0.07200000000000001,0.0,0.40299999999999997,0.39,,0.062,0.294,0.0,0.0,,76.4,0.57,0.22,0.53,3.46,0.07,0.3,0.0,0.0,0.0,2.47,0.09,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/sour-diesel
,Allen Wrench,"Concentrate, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.067,0.10099999999999999,0.0,0.19399999999999998,1.2930000000000001,,0.069,0.135,0.0,0.0,,75.45,0.57,0.2,0.53,3.31,0.06,0.3,0.0,0.0,0.0,2.34,0.1,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/allen-wrench
,Mob Boss,"Concentrate, Inhalable",,,,,,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.084,0.11900000000000001,0.0,0.0,0.13,0.337,0.0,0.377,0.581,,0.19399999999999998,0.569,0.0,0.0,,79.98,0.6,0.2,0.56,3.62,0.07,0.31,0.0,0.0,0.0,2.54,0.11,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/mob-boss
,Gorilla Glue #4,"Hybrid, Flower, Inhalable",,,,,,0.0,0.01,0.008,0.0,0.027000000000000003,0.0,0.0,0.057999999999999996,0.0,0.006999999999999999,0.10800000000000001,0.364,0.026000000000000002,0.0,1.185,0.531,,0.051,0.392,0.0,0.0,,2.26,0.0,19.11,0.03,0.0,0.06,0.0,0.0,0.02,0.24,0.05,0.02,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/gorilla-glue-4
,Skywalker OG,"Indica, Flower, Inhalable",,,,,,0.0,0.027999999999999997,0.025,0.0,0.024,0.0,0.0,0.154,0.0,0.012,0.039,0.201,0.095,0.0,0.6629999999999999,1.185,,0.16,0.91,0.0,0.0,,1.06,0.01,23.23,0.01,0.0,0.07,0.0,0.01,0.06,0.69,0.1,0.02,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/skywalker-og
